Article,URL,Section
How to enable wallet activity notifications in MetaMask Portfolio,https://support.metamask.io/hc/en-us/articles/20634458303643-How-to-enable-wallet-activity-notifications-in-MetaMask-Portfolio,10055453185435
Smart Swaps risk disclosures,https://support.metamask.io/hc/en-us/articles/20628953388827-Smart-Swaps-risk-disclosures,360012954532
How to delete your user data?,https://support.metamask.io/hc/en-us/articles/20225253134235-How-to-delete-your-user-data-,360012783592
Connecting to dapps with EIP-6963 (multi-wallet discovery),https://support.metamask.io/hc/en-us/articles/20220399729435-Connecting-to-dapps-with-EIP-6963-multi-wallet-discovery-,4469997552411
How to use different networks with MetaMask Activity,https://support.metamask.io/hc/en-us/articles/20096122678683-How-to-use-different-networks-with-MetaMask-Activity,13112158808603
How to turn on Blockaid security  alerts,https://support.metamask.io/hc/en-us/articles/19878220833947-How-to-turn-on-Blockaid-security-alerts,360012783592
How to bridge to a different token,https://support.metamask.io/hc/en-us/articles/19810799583643-How-to-bridge-to-a-different-token,10055455704731
"Fake token investment scams and ""pig butchering"" attacks",https://support.metamask.io/hc/en-us/articles/19540691879195-Fake-token-investment-scams-and-pig-butchering-attacks,11294597751963
Getting started with MetaMask Snaps,https://support.metamask.io/hc/en-us/articles/18377120661019-Getting-started-with-MetaMask-Snaps,18157513444635
Signature phishing,https://support.metamask.io/hc/en-us/articles/18370182015899-Signature-phishing,11294597751963
"What is a browser extension, and why is MetaMask one?",https://support.metamask.io/hc/en-us/articles/18132243800219-What-is-a-browser-extension-and-why-is-MetaMask-one-,360002198491
How to sell your crypto assets for fiat currency in MetaMask,https://support.metamask.io/hc/en-us/articles/18118120641947-How-to-sell-your-crypto-assets-for-fiat-currency-in-MetaMask,18118076533787
My country/region isn't supported for selling crypto,https://support.metamask.io/hc/en-us/articles/18118071123995-My-country-region-isn-t-supported-for-selling-crypto,18118076533787
How do I stake with MetaMask Staking?,https://support.metamask.io/hc/en-us/articles/17304456569627-How-do-I-stake-with-MetaMask-Staking-,10505259606555
How am I rewarded with Stader Labs?,https://support.metamask.io/hc/en-us/articles/17245281089051-How-am-I-rewarded-with-Stader-Labs-,10505259606555
What is Stader Labs and MaticX?,https://support.metamask.io/hc/en-us/articles/17245195214491-What-is-Stader-Labs-and-MaticX-,10505259606555
NFT airdrop scams,https://support.metamask.io/hc/en-us/articles/16677217612315-NFT-airdrop-scams,11294597751963
